date,actual,point_forecast,brier,logloss,baseline_brier,baseline_logloss
2015-01-01,39,41.06989997806196,0.096626238306774,0.34928912507598114,0.1002328986546909,0.35989746366709346
2015-01-02,42,40.89648277189929,0.0972420998039592,0.35288495410580223,0.10234962313656508,0.3791830975693252
2015-01-03,42,40.729959761067185,0.09760434879484389,0.35442349308854376,0.10132368982223053,0.37368501097364265
2015-01-04,56,40.57050101721135,0.07266968639375575,0.24416279582086498,0.06098800129715708,0.2095280374702392
2015-01-05,49,40.41827457599892,0.06853923801536269,0.23224384943735404,0.05497194406501508,0.1932635979455232
2015-01-06,22,40.27344606469871,0.07182090129525044,0.24177292962132366,0.08409901632255973,0.2793712761899645
2015-01-07,23,40.136178329735465,0.07045508963119743,0.2374629536168082,0.08136712492998299,0.2698445957911407
2015-01-08,21,40.00663106519305,0.06924800299103433,0.2336914294888235,0.0797103015890174,0.26507655806653174
2015-01-09,33,39.88496044324147,0.09977824320401943,0.36824718328488304,0.0988846414638221,0.35889744791029626
2015-01-10,23,39.77131874746222,0.06794886689881116,0.22946354332110816,0.075917099871267,0.25236476103235195
2015-01-11,37,39.66585401004143,0.09810898915757062,0.3546917487108109,0.10152809032930099,0.37375908605471875
2015-01-12,39,39.56870965379431,0.0980261952266196,0.35468879166448714,0.09735248173343411,0.3450630443861028
2015-01-13,36,39.480024139974766,0.09797315522158956,0.355421532023793,0.10267775258251448,0.38312493271175696
2015-01-14,32,39.39993062281219,0.10004999951468947,0.3718811656187487,0.10285109599395312,0.38324323414849776
2015-01-15,35,39.328556611703384,0.09761095306341241,0.3536193092843217,0.10535852859662383,0.4082008967503417
2015-01-16,43,39.26602364197042,0.10050372813372721,0.37520723654457283,0.10558629377676995,0.408360191089469
2015-01-17,32,39.21244695507626,0.09991099059512953,0.370505477641319,0.10213151927437643,0.3729533969901718
2015-01-18,42,39.167935189167935,0.09915973276157622,0.3644994069966933,0.1009040060468632,0.36321125442799457
2015-01-19,42,39.132590080793484,0.09928758163508873,0.36531026871315786,0.10179692617787857,0.36818733823029615
2015-01-20,40,39.106506178612136,0.09818541282021748,0.35721180280605,0.10133131771227011,0.3635190304746402
2015-01-21,36,39.089770569888856,0.09772333562931898,0.35332166742050786,0.10149861426051905,0.36798486053270374
2015-01-22,40,39.08246262053389,0.09856265086901388,0.35899564587285127,0.10020458553791889,0.3585753040640411
2015-01-23,39,39.08465372941482,0.09844613648815799,0.35849775433798353,0.09968455530360294,0.3542437403642238
2015-01-24,39,39.09640709763432,0.09830688227413954,0.35786202690791336,0.10075485008818344,0.3631323472994819
2015-01-25,42,39.117777513429886,0.09903719539390715,0.364495000108258,0.10112773998488285,0.3677338410551566
2015-01-26,31,39.14881115331353,0.09957030946124146,0.3682835211212816,0.10574351221970268,0.41528875491015754
2015-01-27,30,39.1895454000296,0.06934904407293271,0.23406152144089415,0.06174653565129758,0.21113203634151118
